V1,V2,V3,V4,V5,V6,time,V7,V8,V9,V10
,,,20152103042134-429,2,7/3/2015 16:38,1435966680,C7,50880,1436017560,7/4/2015 6:46
20152201102241-597,3,7/1/2015 10:43,1435772580,C7,194520,1435967100,7/3/2015 16:45,,,
20152301032339-982,2,7/1/2015 15:39,1435790340,C7,176760,1435967100,7/3/2015 16:45,,,
20151601031635-401,3,7/1/2015 16:10,1435792200,C7,183180,1435975380,7/3/2015 19:03,,,
20152103042134-429,2,7/3/2015 16:38,1435966680,C7,50880,1436017560,7/4/2015 6:46,,,
,,,20155304065358-506,3,7/4/2015 7:16,1436019360,C7,524280,1436543640,7/10/2015 8:54
20154803104834-431,2,7/3/2015 11:56,1435949760,C7,74880,1436024640,7/4/2015 8:44,,,
20152401092405-316,3,7/1/2015 10:14,1435770840,C7,253860,1436024700,7/4/2015 8:45,,,
,,,20150804100804-119,1,7/4/2015 11:07,1436033220,C7,330960,1436364180,7/8/2015 7:03
,,,20155004015003-341,3,7/4/2015 14:27,1436045220,C7,199320,1436244540,7/6/2015 21:49
,,,20153004023033-371,2,7/4/2015 14:55,1436046900,C7,195120,1436242020,7/6/2015 21:07
,,,20150704050743-697,1,7/4/2015 17:20,1436055600,C7,445440,1436501040,7/9/2015 21:04
20152302012357-409,1,7/2/2015 13:37,1435869420,C7,192240,1436061660,7/4/2015 19:01,,,
20150203060230-10,1,7/3/2015 7:02,1435932120,C7,136320,1436068440,7/4/2015 20:54,,,
20155430085434-503,1,6/30/2015 10:01,1435683660,C7,418680,1436102340,7/5/2015 6:19,,,
20151801041821-719,2,7/1/2015 17:16,1435796160,C7,313920,1436110080,7/5/2015 8:28,,,
20151501041514-837,1,7/1/2015 16:51,1435794660,C7,336180,1436130840,7/5/2015 14:14,,,
,,,20155705025745-109,1,7/5/2015 16:12,1436137920,C7,242040,1436379960,7/8/2015 11:26
20154101014157-341,1,7/1/2015 14:13,1435785180,C7,359160,1436144340,7/5/2015 17:59,,,
,,,20155605055620-608,3,7/5/2015 18:11,1436145060,C7,244620,1436389680,7/8/2015 14:08
20150303080344-262,1,7/3/2015 8:36,1435937760,C7,220920,1436158680,7/5/2015 21:58,,,
,,,20151906061932-564,3,7/6/2015 7:08,1436191680,C7,171780,1436363460,7/8/2015 6:51
,,,20150306080327-887,2,7/6/2015 9:00,1436198400,C7,261660,1436460060,7/9/2015 9:41
,,,20150606110611-539,1,7/6/2015 11:23,1436206980,C7,248160,1436455140,7/9/2015 8:19
,,,20153606123639-984,3,7/6/2015 13:08,1436213280,C7,94440,1436307720,7/7/2015 15:22
,,,20151306121325-748,2,7/6/2015 13:15,1436213700,C7,779040,1436992740,7/15/2015 13:39
,,,20154606054615-464,2,7/6/2015 18:43,1436233380,C7,391440,1436624820,7/11/2015 7:27
,,,20154506054509-852,2,7/6/2015 18:45,1436233500,C7,92160,1436325660,7/7/2015 20:21
20150202120211-959,3,7/2/2015 12:19,1435864740,C7,371340,1436236080,7/6/2015 19:28,,,
20153004023033-371,2,7/4/2015 14:55,1436046900,C7,195120,1436242020,7/6/2015 21:07,,,
20155004015003-341,3,7/4/2015 14:27,1436045220,C7,199320,1436244540,7/6/2015 21:49,,,
20154201024259-199,2,7/1/2015 15:42,1435790520,C7,485220,1436275740,7/7/2015 6:29,,,
,,,20153407083404-718,2,7/7/2015 9:40,1436287200,C7,120180,1436407380,7/8/2015 19:03
,,,20155407095445-308,1,7/7/2015 10:11,1436289060,C7,216000,1436505060,7/9/2015 22:11
,,,20150207110213-868,3,7/7/2015 11:59,1436295540,C7,104040,1436399580,7/8/2015 16:53
20153001073008-682,3,7/1/2015 7:51,1435762260,C7,535320,1436297580,7/7/2015 12:33,,,
20153606123639-984,3,7/6/2015 13:08,1436213280,C7,94440,1436307720,7/7/2015 15:22,,,
,,,20153407043429-914,1,7/7/2015 17:25,1436315100,C7,165960,1436481060,7/9/2015 15:31
20154506054509-852,2,7/6/2015 18:45,1436233500,C7,92160,1436325660,7/7/2015 20:21,,,
20151906061932-564,3,7/6/2015 7:08,1436191680,C7,171780,1436363460,7/8/2015 6:51,,,
,,,20151008061031-83,1,7/8/2015 7:02,1436364120,C7,363240,1436727360,7/12/2015 11:56
20150804100804-119,1,7/4/2015 11:07,1436033220,C7,330960,1436364180,7/8/2015 7:03,,,
,,,20153708073726-600,2,7/8/2015 7:57,1436367420,C7,363780,1436731200,7/12/2015 13:00
,,,20150108080154-471,1,7/8/2015 8:17,1436368620,C7,120300,1436488920,7/9/2015 17:42
,,,20153208073235-389,2,7/8/2015 8:33,1436369580,C7,81300,1436450880,7/9/2015 7:08
20155705025745-109,1,7/5/2015 16:12,1436137920,C7,242040,1436379960,7/8/2015 11:26,,,
,,,20154508124538-434,2,7/8/2015 13:40,1436388000,C7,171240,1436559240,7/10/2015 13:14
20155605055620-608,3,7/5/2015 18:11,1436145060,C7,244620,1436389680,7/8/2015 14:08,,,
,,,20153708023749-220,1,7/8/2015 15:02,1436392920,C7,164280,1436557200,7/10/2015 12:40
20150207110213-868,3,7/7/2015 11:59,1436295540,C7,104040,1436399580,7/8/2015 16:53,,,
,,,20150508050523-569,1,7/8/2015 17:19,1436401140,C7,331380,1436732520,7/12/2015 13:22
,,,20151008051030-28,1,7/8/2015 17:26,1436401560,C7,146220,1436547780,7/10/2015 10:03
20153407083404-718,2,7/7/2015 9:40,1436287200,C7,120180,1436407380,7/8/2015 19:03,,,
20153208073235-389,2,7/8/2015 8:33,1436369580,C7,81300,1436450880,7/9/2015 7:08,,,
,,,20155009075029-871,2,7/9/2015 8:04,1436454240,C7,278940,1436733180,7/12/2015 13:33
,,,20155509065515-933,2,7/9/2015 8:09,1436454540,C7,222840,1436677380,7/11/2015 22:03
20150606110611-539,1,7/6/2015 11:23,1436206980,C7,248160,1436455140,7/9/2015 8:19,,,
,,,20154109074131-62,2,7/9/2015 8:30,1436455800,C7,197220,1436653020,7/11/2015 15:17
,,,20152709082754-396,1,7/9/2015 9:25,1436459100,C7,254460,1436713560,7/12/2015 8:06
20150306080327-887,2,7/6/2015 9:00,1436198400,C7,261660,1436460060,7/9/2015 9:41,,,
,,,20155509105541-792,1,7/9/2015 11:11,1436465460,C7,92880,1436558340,7/10/2015 12:59
20152701112759-138,1,7/1/2015 12:07,1435777620,C7,688500,1436466120,7/9/2015 11:22,,,
,,,20152509112544-291,1,7/9/2015 11:41,1436467260,C7,102060,1436569320,7/10/2015 16:02
20153407043429-914,1,7/7/2015 17:25,1436315100,C7,165960,1436481060,7/9/2015 15:31,,,
20150108080154-471,1,7/8/2015 8:17,1436368620,C7,120300,1436488920,7/9/2015 17:42,,,
,,,20150509050552-677,1,7/9/2015 18:17,1436491020,C7,270480,1436761500,7/12/2015 21:25
20154201094221-490,3,7/1/2015 10:18,1435771080,C7,720780,1436491860,7/9/2015 18:31,,,
20150704050743-697,1,7/4/2015 17:20,1436055600,C7,445440,1436501040,7/9/2015 21:04,,,
20155407095445-308,1,7/7/2015 10:11,1436289060,C7,216000,1436505060,7/9/2015 22:11,,,
,,,20150910060904-59,2,7/10/2015 6:41,1436535660,C7,212460,1436748120,7/12/2015 17:42
20152001072036-614,1,7/1/2015 7:40,1435761600,C7,780480,1436542080,7/10/2015 8:28,,,
20155401025432-410,1,7/1/2015 15:08,1435788480,C7,754920,1436543400,7/10/2015 8:50,,,
20155304065358-506,3,7/4/2015 7:16,1436019360,C7,524280,1436543640,7/10/2015 8:54,,,
20151008051030-28,1,7/8/2015 17:26,1436401560,C7,146220,1436547780,7/10/2015 10:03,,,
,,,20153310113338-127,2,7/10/2015 12:10,1436555400,C7,177960,1436733360,7/12/2015 13:36
20153708023749-220,1,7/8/2015 15:02,1436392920,C7,164280,1436557200,7/10/2015 12:40,,,
20152201042246-439,2,7/1/2015 16:44,1435794240,C7,764100,1436558340,7/10/2015 12:59,,,
20155509105541-792,1,7/9/2015 11:11,1436465460,C7,92880,1436558340,7/10/2015 12:59,,,
20154508124538-434,2,7/8/2015 13:40,1436388000,C7,171240,1436559240,7/10/2015 13:14,,,
,,,20153310023320-488,1,7/10/2015 15:34,1436567640,C7,60600,1436628240,7/11/2015 8:24
20152509112544-291,1,7/9/2015 11:41,1436467260,C7,102060,1436569320,7/10/2015 16:02,,,
,,,20152610052623-296,1,7/10/2015 18:04,1436576640,C7,754620,1437331260,7/19/2015 11:41
,,,20155610055624-279,1,7/10/2015 18:57,1436579820,C7,670800,1437250620,7/18/2015 13:17
20153803013812-529,1,7/3/2015 13:54,1435956840,C7,630360,1436587200,7/10/2015 21:00,,,
20154606054615-464,2,7/6/2015 18:43,1436233380,C7,391440,1436624820,7/11/2015 7:27,,,
20153310023320-488,1,7/10/2015 15:34,1436567640,C7,60600,1436628240,7/11/2015 8:24,,,
,,,20152511102520-964,3,7/11/2015 10:44,1436636640,C7,177720,1436814360,7/13/2015 12:06
,,,20152711112746-346,2,7/11/2015 11:51,1436640660,C7,69720,1436710380,7/12/2015 7:13
,,,20154111114145-439,2,7/11/2015 12:29,1436642940,C7,94740,1436737680,7/12/2015 14:48
,,,20155911125954-688,1,7/11/2015 13:54,1436648040,C7,73140,1436721180,7/12/2015 10:13
20154109074131-62,2,7/9/2015 8:30,1436455800,C7,197220,1436653020,7/11/2015 15:17,,,
,,,20154111024150-826,1,7/11/2015 15:29,1436653740,C7,96480,1436750220,7/12/2015 18:17
,,,20155511045543-118,2,7/11/2015 17:18,1436660280,C7,57540,1436717820,7/12/2015 9:17
,,,20150811050851-143,2,7/11/2015 18:14,1436663640,C7,251280,1436914920,7/14/2015 16:02
20155509065515-933,2,7/9/2015 8:09,1436454540,C7,222840,1436677380,7/11/2015 22:03,,,
,,,20150112060145-428,1,7/12/2015 6:35,1436708100,C7,85440,1436793540,7/13/2015 6:19
,,,20151612061624-150,1,7/12/2015 6:53,1436709180,C7,638520,1437347700,7/19/2015 16:15
20152711112746-346,2,7/11/2015 11:51,1436640660,C7,69720,1436710380,7/12/2015 7:13,,,
20152709082754-396,1,7/9/2015 9:25,1436459100,C7,254460,1436713560,7/12/2015 8:06,,,
20155511045543-118,2,7/11/2015 17:18,1436660280,C7,57540,1436717820,7/12/2015 9:17,,,
20155911125954-688,1,7/11/2015 13:54,1436648040,C7,73140,1436721180,7/12/2015 10:13,,,
,,,20153012103050-559,1,7/12/2015 10:48,1436723280,C7,334920,1437058200,7/16/2015 7:50
20151008061031-83,1,7/8/2015 7:02,1436364120,C7,363240,1436727360,7/12/2015 11:56,,,
20153708073726-600,2,7/8/2015 7:57,1436367420,C7,363780,1436731200,7/12/2015 13:00,,,
20150508050523-569,1,7/8/2015 17:19,1436401140,C7,331380,1436732520,7/12/2015 13:22,,,
20155009075029-871,2,7/9/2015 8:04,1436454240,C7,278940,1436733180,7/12/2015 13:33,,,
20153310113338-127,2,7/10/2015 12:10,1436555400,C7,177960,1436733360,7/12/2015 13:36,,,
,,,20155112125144-954,2,7/12/2015 13:41,1436733660,C7,116700,1436850360,7/13/2015 22:06
20154111114145-439,2,7/11/2015 12:29,1436642940,C7,94740,1436737680,7/12/2015 14:48,,,
,,,20153012023040-460,1,7/12/2015 15:23,1436739780,C7,174000,1436913780,7/14/2015 15:43
20150910060904-59,2,7/10/2015 6:41,1436535660,C7,212460,1436748120,7/12/2015 17:42,,,
20154111024150-826,1,7/11/2015 15:29,1436653740,C7,96480,1436750220,7/12/2015 18:17,,,
20150509050552-677,1,7/9/2015 18:17,1436491020,C7,270480,1436761500,7/12/2015 21:25,,,
20150112060145-428,1,7/12/2015 6:35,1436708100,C7,85440,1436793540,7/13/2015 6:19,,,
,,,20154613064658-613,1,7/13/2015 7:00,1436796000,C7,96060,1436892060,7/14/2015 9:41
,,,20155013065048-240,1,7/13/2015 7:11,1436796660,C7,375420,1437172080,7/17/2015 15:28
,,,20153813103815-223,1,7/13/2015 10:51,1436809860,C7,974100,1437783960,7/24/2015 17:26
20152511102520-964,3,7/11/2015 10:44,1436636640,C7,177720,1436814360,7/13/2015 12:06,,,
,,,20154113114117-693,2,7/13/2015 12:12,1436814720,C7,381300,1437196020,7/17/2015 22:07
,,,20153013113059-327,1,7/13/2015 12:23,1436815380,C7,434340,1437249720,7/18/2015 13:02
20155112125144-954,2,7/12/2015 13:41,1436733660,C7,116700,1436850360,7/13/2015 22:06,,,
,,,20152914062912-293,2,7/14/2015 7:02,1436882520,C7,117420,1436999940,7/15/2015 15:39
,,,20151614071608-934,1,7/14/2015 7:53,1436885580,C7,80220,1436965800,7/15/2015 6:10
,,,20152614072648-135,1,7/14/2015 8:28,1436887680,C7,253680,1437141360,7/17/2015 6:56
20154613064658-613,1,7/13/2015 7:00,1436796000,C7,96060,1436892060,7/14/2015 9:41,,,
,,,20150914110948-268,1,7/14/2015 12:12,1436901120,C7,325260,1437226380,7/18/2015 6:33
,,,20150514120512-102,1,7/14/2015 12:22,1436901720,C7,295920,1437197640,7/17/2015 22:34
,,,20153914123913-490,3,7/14/2015 12:52,1436903520,C7,178380,1437081900,7/16/2015 14:25
,,,20155314125319-412,3,7/14/2015 13:44,1436906640,C7,241200,1437147840,7/17/2015 8:44
,,,20155514015554-802,2,7/14/2015 14:56,1436910960,C7,149460,1437060420,7/16/2015 8:27
20153012023040-460,1,7/12/2015 15:23,1436739780,C7,174000,1436913780,7/14/2015 15:43,,,
20150811050851-143,2,7/11/2015 18:14,1436663640,C7,251280,1436914920,7/14/2015 16:02,,,
,,,20151314051327-38,1,7/14/2015 17:38,1436920680,C7,247740,1437168420,7/17/2015 14:27
20151614071608-934,1,7/14/2015 7:53,1436885580,C7,80220,1436965800,7/15/2015 6:10,,,
,,,20150115080143-276,2,7/15/2015 8:26,1436973960,C7,687120,1437661080,7/23/2015 7:18
,,,20150815100834-958,1,7/15/2015 11:06,1436983560,C7,897480,1437881040,7/25/2015 20:24
20151306121325-748,2,7/6/2015 13:15,1436213700,C7,779040,1436992740,7/15/2015 13:39,,,
20152914062912-293,2,7/14/2015 7:02,1436882520,C7,117420,1436999940,7/15/2015 15:39,,,
,,,20151415041441-660,3,7/15/2015 16:50,1437004200,C7,446460,1437450660,7/20/2015 20:51
,,,20153316063306-527,3,7/16/2015 6:58,1437055080,C7,127260,1437182340,7/17/2015 18:19
20153012103050-559,1,7/12/2015 10:48,1436723280,C7,334920,1437058200,7/16/2015 7:50,,,
20155514015554-802,2,7/14/2015 14:56,1436910960,C7,149460,1437060420,7/16/2015 8:27,,,
,,,20152816102821-282,1,7/16/2015 11:03,1437069780,C7,1157640,1438227420,7/29/2015 20:37
20153914123913-490,3,7/14/2015 12:52,1436903520,C7,178380,1437081900,7/16/2015 14:25,,,
,,,20155916045900-996,2,7/16/2015 17:46,1437093960,C7,222900,1437316860,7/19/2015 7:41
,,,20150717060746-729,3,7/17/2015 6:32,1437139920,C7,950400,1438090320,7/28/2015 6:32
20152614072648-135,1,7/14/2015 8:28,1436887680,C7,253680,1437141360,7/17/2015 6:56,,,
,,,20154617064600-936,1,7/17/2015 7:02,1437141720,C7,192720,1437334440,7/19/2015 12:34
20155314125319-412,3,7/14/2015 13:44,1436906640,C7,241200,1437147840,7/17/2015 8:44,,,
,,,20153117083124-431,2,7/17/2015 9:20,1437150000,C7,184140,1437334140,7/19/2015 12:29
,,,20150517090518-811,3,7/17/2015 9:29,1437150540,C7,87000,1437237540,7/18/2015 9:39
,,,20153317093336-203,2,7/17/2015 10:30,1437154200,C7,123600,1437277800,7/18/2015 20:50
,,,20155317105335-21,1,7/17/2015 11:55,1437159300,C7,67860,1437227160,7/18/2015 6:46
20151314051327-38,1,7/14/2015 17:38,1436920680,C7,247740,1437168420,7/17/2015 14:27,,,
20155013065048-240,1,7/13/2015 7:11,1436796660,C7,375420,1437172080,7/17/2015 15:28,,,
,,,20153417043413-536,2,7/17/2015 17:06,1437177960,C7,365520,1437543480,7/21/2015 22:38
,,,20154417054458-449,1,7/17/2015 18:09,1437181740,C7,430860,1437612600,7/22/2015 17:50
20153316063306-527,3,7/16/2015 6:58,1437055080,C7,127260,1437182340,7/17/2015 18:19,,,
20154113114117-693,2,7/13/2015 12:12,1436814720,C7,381300,1437196020,7/17/2015 22:07,,,
20150514120512-102,1,7/14/2015 12:22,1436901720,C7,295920,1437197640,7/17/2015 22:34,,,
20150914110948-268,1,7/14/2015 12:12,1436901120,C7,325260,1437226380,7/18/2015 6:33,,,
20155317105335-21,1,7/17/2015 11:55,1437159300,C7,67860,1437227160,7/18/2015 6:46,,,
20150517090518-811,3,7/17/2015 9:29,1437150540,C7,87000,1437237540,7/18/2015 9:39,,,
,,,20151318101338-951,2,7/18/2015 10:36,1437240960,C7,512220,1437753180,7/24/2015 8:53
,,,20151418111432-774,3,7/18/2015 11:34,1437244440,C7,110760,1437355200,7/19/2015 18:20
,,,20153318113337-404,3,7/18/2015 11:47,1437245220,C7,119880,1437365100,7/19/2015 21:05
20153013113059-327,1,7/13/2015 12:23,1436815380,C7,434340,1437249720,7/18/2015 13:02,,,
20155610055624-279,1,7/10/2015 18:57,1436579820,C7,670800,1437250620,7/18/2015 13:17,,,
,,,20153118013100-425,2,7/18/2015 13:52,1437252720,C7,283320,1437536040,7/21/2015 20:34
,,,20151318051330-957,3,7/18/2015 17:27,1437265620,C7,923460,1438189080,7/29/2015 9:58
,,,20154618044618-128,1,7/18/2015 18:01,1437267660,C7,449460,1437717120,7/23/2015 22:52
,,,20153018053053-129,2,7/18/2015 18:07,1437268020,C7,166080,1437434100,7/20/2015 16:15
,,,20153618053610-340,1,7/18/2015 18:31,1437269460,C7,1459500,1438728960,8/4/2015 15:56
20153317093336-203,2,7/17/2015 10:30,1437154200,C7,123600,1437277800,7/18/2015 20:50,,,
20155916045900-996,2,7/16/2015 17:46,1437093960,C7,222900,1437316860,7/19/2015 7:41,,,
,,,20152119092102-380,1,7/19/2015 10:19,1437326340,C7,72600,1437398940,7/20/2015 6:29
,,,20153219093219-284,1,7/19/2015 10:21,1437326460,C7,616680,1437943140,7/26/2015 13:39
20152610052623-296,1,7/10/2015 18:04,1436576640,C7,754620,1437331260,7/19/2015 11:41,,,
,,,20155019115035-365,1,7/19/2015 12:11,1437333060,C7,630600,1437963660,7/26/2015 19:21
20153117083124-431,2,7/17/2015 9:20,1437150000,C7,184140,1437334140,7/19/2015 12:29,,,
20154617064600-936,1,7/17/2015 7:02,1437141720,C7,192720,1437334440,7/19/2015 12:34,,,
,,,20150319120301-287,3,7/19/2015 13:02,1437336120,C7,332760,1437668880,7/23/2015 9:28
,,,20152819122847-981,1,7/19/2015 13:03,1437336180,C7,67740,1437403920,7/20/2015 7:52
,,,20150019010004-372,1,7/19/2015 13:58,1437339480,C7,203640,1437543120,7/21/2015 22:32
,,,20152419022425-210,1,7/19/2015 15:13,1437343980,C7,355740,1437699720,7/23/2015 18:02
20151612061624-150,1,7/12/2015 6:53,1436709180,C7,638520,1437347700,7/19/2015 16:15,,,
,,,20153219043201-719,1,7/19/2015 17:06,1437350760,C7,104220,1437454980,7/20/2015 22:03
20151418111432-774,3,7/18/2015 11:34,1437244440,C7,110760,1437355200,7/19/2015 18:20,,,
20153318113337-404,3,7/18/2015 11:47,1437245220,C7,119880,1437365100,7/19/2015 21:05,,,
20152119092102-380,1,7/19/2015 10:19,1437326340,C7,72600,1437398940,7/20/2015 6:29,,,
,,,20154520064525-417,3,7/20/2015 7:43,1437403380,C7,137220,1437540600,7/21/2015 21:50
20152819122847-981,1,7/19/2015 13:03,1437336180,C7,67740,1437403920,7/20/2015 7:52,,,
,,,20151620101652-108,1,7/20/2015 10:37,1437413820,C7,83400,1437497220,7/21/2015 9:47
20153018053053-129,2,7/18/2015 18:07,1437268020,C7,166080,1437434100,7/20/2015 16:15,,,
,,,20155920055919-29,1,7/20/2015 19:13,1437444780,C7,49020,1437493800,7/21/2015 8:50
20151415041441-660,3,7/15/2015 16:50,1437004200,C7,446460,1437450660,7/20/2015 20:51,,,
20153219043201-719,1,7/19/2015 17:06,1437350760,C7,104220,1437454980,7/20/2015 22:03,,,
,,,20152221072217-797,1,7/21/2015 7:56,1437490560,C7,220320,1437710880,7/23/2015 21:08
20155920055919-29,1,7/20/2015 19:13,1437444780,C7,49020,1437493800,7/21/2015 8:50,,,
,,,20151621091605-465,1,7/21/2015 9:33,1437496380,C7,382020,1437878400,7/25/2015 19:40
,,,20151221091244-979,2,7/21/2015 9:35,1437496500,C7,430500,1437927000,7/26/2015 9:10
20151620101652-108,1,7/20/2015 10:37,1437413820,C7,83400,1437497220,7/21/2015 9:47,,,
,,,20151421031443-290,2,7/21/2015 15:35,1437518100,C7,599940,1438118040,7/28/2015 14:14
,,,20154421044426-552,1,7/21/2015 16:58,1437523080,C7,171960,1437695040,7/23/2015 16:44
20153118013100-425,2,7/18/2015 13:52,1437252720,C7,283320,1437536040,7/21/2015 20:34,,,
20154520064525-417,3,7/20/2015 7:43,1437403380,C7,137220,1437540600,7/21/2015 21:50,,,
20150019010004-372,1,7/19/2015 13:58,1437339480,C7,203640,1437543120,7/21/2015 22:32,,,
20153417043413-536,2,7/17/2015 17:06,1437177960,C7,365520,1437543480,7/21/2015 22:38,,,
,,,20155822075801-949,1,7/22/2015 8:57,1437580620,C7,634020,1438214640,7/29/2015 17:04
,,,20150922090902-582,3,7/22/2015 10:14,1437585240,C7,344160,1437929400,7/26/2015 9:50
,,,20155522095506-197,2,7/22/2015 10:32,1437586320,C7,174480,1437760800,7/24/2015 11:00
,,,20154922104905-300,1,7/22/2015 11:46,1437590760,C7,180120,1437770880,7/24/2015 13:48
,,,20154822114816-84,1,7/22/2015 12:10,1437592200,C7,75420,1437667620,7/23/2015 9:07
,,,20155822115853-505,1,7/22/2015 12:18,1437592680,C7,330360,1437923040,7/26/2015 8:04
,,,20151422011417-46,1,7/22/2015 13:49,1437598140,C7,112920,1437711060,7/23/2015 21:11
20154417054458-449,1,7/17/2015 18:09,1437181740,C7,430860,1437612600,7/22/2015 17:50,,,
,,,20154622054623-743,3,7/22/2015 18:00,1437613200,C7,775320,1438388520,7/31/2015 17:22
20150115080143-276,2,7/15/2015 8:26,1436973960,C7,687120,1437661080,7/23/2015 7:18,,,
20154822114816-84,1,7/22/2015 12:10,1437592200,C7,75420,1437667620,7/23/2015 9:07,,,
20150319120301-287,3,7/19/2015 13:02,1437336120,C7,332760,1437668880,7/23/2015 9:28,,,
,,,20152923092919-201,1,7/23/2015 10:35,1437672900,C7,731160,1438404060,7/31/2015 21:41
,,,20152023122039-382,1,7/23/2015 12:51,1437681060,C7,370320,1438051380,7/27/2015 19:43
20154421044426-552,1,7/21/2015 16:58,1437523080,C7,171960,1437695040,7/23/2015 16:44,,,
20152419022425-210,1,7/19/2015 15:13,1437343980,C7,355740,1437699720,7/23/2015 18:02,,,
20152221072217-797,1,7/21/2015 7:56,1437490560,C7,220320,1437710880,7/23/2015 21:08,,,
20151422011417-46,1,7/22/2015 13:49,1437598140,C7,112920,1437711060,7/23/2015 21:11,,,
20154618044618-128,1,7/18/2015 18:01,1437267660,C7,449460,1437717120,7/23/2015 22:52,,,
,,,20150624060606-582,1,7/24/2015 6:20,1437744000,C7,231060,1437975060,7/26/2015 22:31
,,,20155424065455-846,2,7/24/2015 7:28,1437748080,C7,96960,1437845040,7/25/2015 10:24
20151318101338-951,2,7/18/2015 10:36,1437240960,C7,512220,1437753180,7/24/2015 8:53,,,
,,,20155824085808-856,3,7/24/2015 9:29,1437755340,C7,271200,1438026540,7/27/2015 12:49
20155522095506-197,2,7/22/2015 10:32,1437586320,C7,174480,1437760800,7/24/2015 11:00,,,
,,,20153424123435-575,2,7/24/2015 12:50,1437767400,C7,193320,1437960720,7/26/2015 18:32
20154922104905-300,1,7/22/2015 11:46,1437590760,C7,180120,1437770880,7/24/2015 13:48,,,
,,,20155724015759-778,1,7/24/2015 14:19,1437772740,C7,233760,1438006500,7/27/2015 7:15
,,,20151424021410-748,3,7/24/2015 14:33,1437773580,C7,150720,1437924300,7/26/2015 8:25
,,,20153724023747-163,1,7/24/2015 14:54,1437774840,C7,710340,1438485180,8/1/2015 20:13
,,,20155124035131-240,1,7/24/2015 16:14,1437779640,C7,541440,1438321080,7/30/2015 22:38
,,,20151724031732-555,1,7/24/2015 16:18,1437779880,C7,421080,1438200960,7/29/2015 13:16
,,,20151324041317-432,1,7/24/2015 16:52,1437781920,C7,267120,1438049040,7/27/2015 19:04
20153813103815-223,1,7/13/2015 10:51,1436809860,C7,974100,1437783960,7/24/2015 17:26,,,
,,,20155724055744-118,2,7/24/2015 18:59,1437789540,C7,141240,1437930780,7/26/2015 10:13
,,,20154925074924-66,1,7/25/2015 8:20,1437837600,C7,783720,1438621320,8/3/2015 10:02
,,,20150125080138-74,3,7/25/2015 8:50,1437839400,C7,357120,1438196520,7/29/2015 12:02
20155424065455-846,2,7/24/2015 7:28,1437748080,C7,96960,1437845040,7/25/2015 10:24,,,
,,,20155825095828-312,3,7/25/2015 10:51,1437846660,C7,120840,1437967500,7/26/2015 20:25
,,,20152925102911-696,3,7/25/2015 11:16,1437848160,C7,368280,1438216440,7/29/2015 17:34
,,,20152525102559-950,2,7/25/2015 11:26,1437848760,C7,125400,1437974160,7/26/2015 22:16
,,,20154725114714-121,3,7/25/2015 12:41,1437853260,C7,80520,1437933780,7/26/2015 11:03
,,,20153125033101-388,2,7/25/2015 16:02,1437865320,C7,93180,1437958500,7/26/2015 17:55
,,,20150825040838-487,1,7/25/2015 17:07,1437869220,C7,188220,1438057440,7/27/2015 21:24
,,,20150925050919-689,3,7/25/2015 17:33,1437870780,C7,182520,1438053300,7/27/2015 20:15
20151621091605-465,1,7/21/2015 9:33,1437496380,C7,382020,1437878400,7/25/2015 19:40,,,
20150815100834-958,1,7/15/2015 11:06,1436983560,C7,897480,1437881040,7/25/2015 20:24,,,
,,,20152426062434-212,1,7/26/2015 6:58,1437919080,C7,210480,1438129560,7/28/2015 17:26
,,,20154726064756-747,1,7/26/2015 7:03,1437919380,C7,200160,1438119540,7/28/2015 14:39
,,,20155726065746-437,3,7/26/2015 7:32,1437921120,C7,113580,1438034700,7/27/2015 15:05
20155822115853-505,1,7/22/2015 12:18,1437592680,C7,330360,1437923040,7/26/2015 8:04,,,
20151424021410-748,3,7/24/2015 14:33,1437773580,C7,150720,1437924300,7/26/2015 8:25,,,
20151221091244-979,2,7/21/2015 9:35,1437496500,C7,430500,1437927000,7/26/2015 9:10,,,
20150922090902-582,3,7/22/2015 10:14,1437585240,C7,344160,1437929400,7/26/2015 9:50,,,
20155724055744-118,2,7/24/2015 18:59,1437789540,C7,141240,1437930780,7/26/2015 10:13,,,
20154725114714-121,3,7/25/2015 12:41,1437853260,C7,80520,1437933780,7/26/2015 11:03,,,
,,,20154926124932-480,1,7/26/2015 13:14,1437941640,C7,63600,1438005240,7/27/2015 6:54
20153219093219-284,1,7/19/2015 10:21,1437326460,C7,616680,1437943140,7/26/2015 13:39,,,
,,,20153126013121-122,3,7/26/2015 13:55,1437944100,C7,93540,1438037640,7/27/2015 15:54
,,,20153126023103-958,2,7/26/2015 14:48,1437947280,C7,795420,1438742700,8/4/2015 19:45
20153125033101-388,2,7/25/2015 16:02,1437865320,C7,93180,1437958500,7/26/2015 17:55,,,
20153424123435-575,2,7/24/2015 12:50,1437767400,C7,193320,1437960720,7/26/2015 18:32,,,
20155019115035-365,1,7/19/2015 12:11,1437333060,C7,630600,1437963660,7/26/2015 19:21,,,
20155825095828-312,3,7/25/2015 10:51,1437846660,C7,120840,1437967500,7/26/2015 20:25,,,
20152525102559-950,2,7/25/2015 11:26,1437848760,C7,125400,1437974160,7/26/2015 22:16,,,
20150624060606-582,1,7/24/2015 6:20,1437744000,C7,231060,1437975060,7/26/2015 22:31,,,
